Chromosome name,Chromosome length,Chromosome length (without N)
"ead9981c-1001-491b-8db1-e0c05553899a",6327,6327
"bd76fe67-db4b-4d72-95df-e23f07aea51a",9846,9846
"f1b306de-8038-46af-b38f-7cf0d4c292ad",8150,8150
"f432cb50-8c47-4c54-825f-ab04a38b5225",2337,2337
"d57afb7d-903e-46cf-a43d-0e17fb0949d8",9892,9892
"f51c19c0-2613-48a7-a9a1-ec59658cbd2d",3561,3561
"fea3d3b3-af6c-451a-b862-6043d17ec775",5836,5836
"dbe28df8-d40f-4a1a-9666-9e8bc64c6204",3700,3700
"458e15d1-ec66-4e53-a4c8-97593504bf11",2149,2149
"77635ef8-3824-401c-8442-7fdec33235a8",8225,8225
"0eb7ac67-e215-4aa1-958a-7cd320d229a4",1967,1967
"10df3a9d-60a4-4cb5-ab3d-46483be7bb59",5183,5183
"a46ed4fe-5181-4a9d-ad1a-9e7ac83a0f95",3943,3943
"9a1776fd-9328-408e-9d54-e16535cbe064",7068,7068
"44442ba9-9951-4bac-90ab-2acc8d1c4015",7828,7828
"bec0a1f3-2776-4ace-b372-0a76a9cbed6b",5512,5512
"56b8515b-fc38-4531-bb1e-757449205298",5692,5692
"4b09492e-1e14-4c2a-9719-4cd4f1434703",5525,5525
